reading_id,cutter_id,tunnel_distance,operating_hours,geological_type,cutter_position,advance_speed,revolution_rpm,working_pressure,earth_pressure,total_force,abrasivity_index,total_wear,wear_rate,wear_condition
1,face_center_1,0.0,0.0,soft_clay,face_center,47.8,7.1,167.0,72.0,447.0,2.0,0.392,0.0123,new
1,face_center_2,0.0,0.0,soft_clay,face_center,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0096,new
1,face_center_3,0.0,0.0,soft_clay,face_center,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0093,new
1,face_center_4,0.0,0.0,soft_clay,face_center,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0115,new
1,face_center_5,0.0,0.0,soft_clay,face_center,47.8,7.1,167.0,72.0,447.0,2.0,0.15,0.0101,new
1,face_center_6,0.0,0.0,soft_clay,face_center,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0117,new
1,face_outer_1,0.0,0.0,soft_clay,face_outer,47.8,7.1,167.0,72.0,447.0,2.0,0.309,0.0099,new
1,face_outer_2,0.0,0.0,soft_clay,face_outer,47.8,7.1,167.0,72.0,447.0,2.0,0.306,0.0077,new
1,face_outer_3,0.0,0.0,soft_clay,face_outer,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0104,new
1,face_outer_4,0.0,0.0,soft_clay,face_outer,47.8,7.1,167.0,72.0,447.0,2.0,0.457,0.0083,new
1,face_outer_5,0.0,0.0,soft_clay,face_outer,47.8,7.1,167.0,72.0,447.0,2.0,0,0.009,new
1,face_outer_6,0.0,0.0,soft_clay,face_outer,47.8,7.1,167.0,72.0,447.0,2.0,0.347,0.008,new
1,gauge_1,0.0,0.0,soft_clay,gauge,47.8,7.1,167.0,72.0,447.0,2.0,0.307,0.015,new
1,gauge_2,0.0,0.0,soft_clay,gauge,47.8,7.1,167.0,72.0,447.0,2.0,0.036,0.0157,new
1,gauge_3,0.0,0.0,soft_clay,gauge,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0171,new
1,gauge_4,0.0,0.0,soft_clay,gauge,47.8,7.1,167.0,72.0,447.0,2.0,0.329,0.0147,new
1,gauge_5,0.0,0.0,soft_clay,gauge,47.8,7.1,167.0,72.0,447.0,2.0,0.362,0.0151,new
1,gauge_6,0.0,0.0,soft_clay,gauge,47.8,7.1,167.0,72.0,447.0,2.0,0.205,0.0148,new
1,back_reamer_1,0.0,0.0,soft_clay,back_reamer,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0063,new
1,back_reamer_2,0.0,0.0,soft_clay,back_reamer,47.8,7.1,167.0,72.0,447.0,2.0,0,0.007,new
1,back_reamer_3,0.0,0.0,soft_clay,back_reamer,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0069,new
1,back_reamer_4,0.0,0.0,soft_clay,back_reamer,47.8,7.1,167.0,72.0,447.0,2.0,0.136,0.007,new
1,back_reamer_5,0.0,0.0,soft_clay,back_reamer,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0073,new
1,back_reamer_6,0.0,0.0,soft_clay,back_reamer,47.8,7.1,167.0,72.0,447.0,2.0,0,0.0068,new
2,face_center_1,0.5,0.25,soft_clay,face_center,53.7,8.9,187.0,70.0,446.0,2.0,0,0.0111,new
2,face_center_2,0.5,0.25,soft_clay,face_center,53.7,8.9,187.0,70.0,446.0,2.0,0.144,0.0154,new
2,face_center_3,0.5,0.25,soft_clay,face_center,53.7,8.9,187.0,70.0,446.0,2.0,0.188,0.0132,new
2,face_center_4,0.5,0.25,soft_clay,face_center,53.7,8.9,187.0,70.0,446.0,2.0,0.28,0.0146,new
2,face_center_5,0.5,0.25,soft_clay,face_center,53.7,8.9,187.0,70.0,446.0,2.0,0,0.0115,new
2,face_center_6,0.5,0.25,soft_clay,face_center,53.7,8.9,187.0,70.0,446.0,2.0,0,0.0119,new
2,face_outer_1,0.5,0.25,soft_clay,face_outer,53.7,8.9,187.0,70.0,446.0,2.0,0.445,0.0095,new
2,face_outer_2,0.5,0.25,soft_clay,face_outer,53.7,8.9,187.0,70.0,446.0,2.0,0,0.0123,new
2,face_outer_3,0.5,0.25,soft_clay,face_outer,53.7,8.9,187.0,70.0,446.0,2.0,0,0.0114,new
2,face_outer_4,0.5,0.25,soft_clay,face_outer,53.7,8.9,187.0,70.0,446.0,2.0,0,0.0125,new
